category,size,sample,compile_time_sec,max_rss_kb,exit_code
large_jordan,14,3,1.63,216900,0
large_jordan,14,4,1.58,216900,0
large_jordan,14,5,1.65,216900,0
large_jordan,14,6,1.64,217000,0
large_jordan,14,7,1.74,216752,0
large_jordan,14,8,1.91,216744,0
large_jordan,14,9,2.30,216624,0
large_jordan,16,0,9.32,837312,1
large_jordan,16,1,6.97,837504,1
large_jordan,16,2,7.31,837508,1
large_jordan,16,3,9.34,837200,1
large_jordan,16,4,7.92,837416,1
large_jordan,16,5,10.14,837452,1
large_jordan,16,6,6.96,837572,1
large_jordan,16,7,7.01,837708,1
large_jordan,16,8,7.20,837640,1
large_jordan,16,9,7.12,837636,1
large_jordan,18,0,7.09,837180,1
large_jordan,18,1,6.97,837268,1
large_jordan,18,2,6.95,837268,1
large_jordan,18,3,7.19,837312,1
large_jordan,18,4,7.15,837200,1
large_jordan,18,5,7.20,837328,1
large_jordan,18,6,7.11,837280,1
large_jordan,18,7,7.23,837024,1
large_jordan,18,8,6.97,837352,1
large_jordan,18,9,7.01,837284,1
large_jordan,20,0,7.09,832596,1
large_jordan,20,1,7.08,832904,1
large_jordan,20,2,7.15,832288,1
large_jordan,20,3,7.06,832820,1
large_jordan,20,4,6.99,832836,1
large_jordan,20,5,7.08,832852,1
large_jordan,20,6,7.03,832700,1
large_jordan,20,7,7.07,832684,1
large_jordan,20,8,7.07,832684,1
large_jordan,20,9,7.01,832828,1
large_jordan,2,0,0.04,35980,0
large_jordan,2,1,0.05,35880,0
large_jordan,2,2,0.05,35852,0
large_jordan,2,3,0.04,35824,0
large_jordan,2,4,0.04,35852,0
large_jordan,2,5,0.04,35928,0
large_jordan,2,6,0.04,35856,0
large_jordan,2,7,0.04,35916,0
large_jordan,2,8,0.05,35928,0
large_jordan,2,9,0.04,35916,0
large_jordan,4,0,0.06,37568,0
large_jordan,4,1,0.06,37700,0
large_jordan,4,2,0.06,37712,0
large_jordan,4,3,0.06,37668,0
large_jordan,4,4,0.06,37624,0
large_jordan,4,5,0.06,37676,0
large_jordan,4,6,0.06,37672,0
large_jordan,4,7,0.06,37708,0
large_jordan,4,8,0.06,37552,0
large_jordan,4,9,0.06,37644,0
large_jordan,6,0,0.10,42572,0
large_jordan,6,1,0.10,42820,0
large_jordan,6,2,0.10,42868,0
large_jordan,6,3,0.10,42792,0
large_jordan,6,4,0.10,42840,0
large_jordan,6,5,0.10,42836,0
large_jordan,6,6,0.10,42764,0
large_jordan,6,7,0.11,42792,0
large_jordan,6,8,0.11,42684,0
large_jordan,6,9,0.10,42732,0
large_jordan,8,0,0.21,55628,0
large_jordan,8,1,0.20,55604,0
large_jordan,8,2,0.20,55604,0
large_jordan,8,3,0.20,55640,0
large_jordan,8,4,0.21,55636,0
large_jordan,8,5,0.21,55476,0
large_jordan,8,6,0.20,55616,0
large_jordan,8,7,0.21,55588,0
large_jordan,8,8,0.21,55568,0
large_jordan,8,9,0.20,55624,0
nearly_defective,10,0,0.57,97844,0
nearly_defective,10,1,0.57,99124,0
nearly_defective,10,2,0.59,100704,0
nearly_defective,10,3,0.57,98832,0
nearly_defective,10,4,0.68,107608,0
nearly_defective,10,5,0.78,111172,0
nearly_defective,10,6,0.53,93992,0
nearly_defective,10,7,0.67,108808,0
nearly_defective,10,8,0.61,103352,0
nearly_defective,10,9,0.60,102568,0
nearly_defective,12,0,1.08,158680,0
nearly_defective,12,1,1.09,159400,0
nearly_defective,12,2,1.08,158632,0
nearly_defective,12,3,1.19,171332,0
nearly_defective,12,4,1.12,161320,0
nearly_defective,12,5,1.12,162704,0
nearly_defective,12,6,1.12,160692,0
nearly_defective,12,7,1.07,154380,0
nearly_defective,12,8,1.17,168732,0
nearly_defective,12,9,1.07,157220,0
nearly_defective,14,0,1.81,244036,0
nearly_defective,14,1,1.79,243020,0
nearly_defective,14,2,1.98,265104,0
nearly_defective,14,3,1.88,248464,0
nearly_defective,14,4,1.92,255024,0
nearly_defective,14,5,1.87,250764,0
nearly_defective,14,6,1.77,241100,0
nearly_defective,14,7,1.78,240988,0
nearly_defective,14,8,1.98,262596,0
nearly_defective,14,9,2.00,266920,0
nearly_defective,16,0,7.05,840288,1
nearly_defective,16,1,7.00,840340,1
nearly_defective,16,2,7.02,840392,1
nearly_defective,16,3,7.10,840328,1
nearly_defective,16,4,7.05,840316,1
nearly_defective,16,5,7.06,840356,1
nearly_defective,16,6,7.03,840380,1
nearly_defective,16,7,7.06,840368,1
nearly_defective,16,8,7.02,840340,1
nearly_defective,16,9,7.03,840376,1
nearly_defective,18,0,7.02,839588,1
nearly_defective,18,1,7.50,839432,1
nearly_defective,18,2,7.45,839392,1
nearly_defective,18,3,6.98,839560,1
nearly_defective,18,4,7.03,839368,1
nearly_defective,18,5,7.05,839264,1
nearly_defective,18,6,6.97,839600,1
nearly_defective,18,7,7.00,839360,1
nearly_defective,18,8,7.04,839560,1
nearly_defective,18,9,7.03,839624,1
nearly_defective,20,0,7.14,834080,1
nearly_defective,20,1,7.10,834252,1
nearly_defective,20,2,7.09,834340,1
nearly_defective,20,3,7.07,834336,1
nearly_defective,20,4,7.06,834364,1
nearly_defective,20,5,7.05,834228,1
nearly_defective,20,6,6.99,834180,1
nearly_defective,20,7,7.04,834272,1
nearly_defective,20,8,7.01,834352,1
nearly_defective,20,9,7.18,834184,1
nearly_defective,2,0,0.05,36008,0
nearly_defective,2,1,0.04,35996,0
nearly_defective,2,2,0.05,36012,0
nearly_defective,2,3,0.05,36040,0
nearly_defective,2,4,0.05,35980,0
nearly_defective,2,5,0.05,36072,0
nearly_defective,2,6,0.05,35944,0
nearly_defective,2,7,0.05,35996,0
nearly_defective,2,8,0.04,36016,0
nearly_defective,2,9,0.04,36048,0
nearly_defective,4,0,0.09,41944,0
nearly_defective,4,1,0.10,42692,0
nearly_defective,4,2,0.11,43992,0
nearly_defective,4,3,0.09,41692,0
nearly_defective,4,4,0.09,41360,0
nearly_defective,4,5,0.09,41680,0
nearly_defective,4,6,0.09,41128,0
nearly_defective,4,7,0.09,42192,0
nearly_defective,4,8,0.09,41616,0
nearly_defective,4,9,0.10,42440,0
nearly_defective,6,0,0.15,49204,0
nearly_defective,6,1,0.15,48700,0
nearly_defective,6,2,0.19,53072,0
nearly_defective,6,3,0.16,50256,0
nearly_defective,6,4,0.14,47856,0
nearly_defective,6,5,0.15,48716,0
nearly_defective,6,6,0.16,48936,0
nearly_defective,6,7,0.16,50252,0
nearly_defective,6,8,0.17,50892,0
nearly_defective,6,9,0.20,54888,0
nearly_defective,8,0,0.28,64048,0
nearly_defective,8,1,0.30,66700,0
nearly_defective,8,2,0.33,70028,0
nearly_defective,8,3,0.27,62644,0
nearly_defective,8,4,0.34,71760,0
nearly_defective,8,5,0.32,67532,0
nearly_defective,8,6,0.34,70384,0
nearly_defective,8,7,0.33,67432,0
nearly_defective,8,8,0.36,73548,0
nearly_defective,8,9,0.31,67800,0
nearly_reducible,10,0,0.52,92888,0
nearly_reducible,10,1,0.52,92612,0
nearly_reducible,10,2,0.51,92208,0
nearly_reducible,10,3,0.52,92376,0
nearly_reducible,10,4,0.50,91920,0
nearly_reducible,10,5,0.51,91304,0
nearly_reducible,10,6,0.51,92328,0
nearly_reducible,10,7,0.51,92648,0
nearly_reducible,10,8,0.50,91496,0
nearly_reducible,10,9,0.52,92896,0
nearly_reducible,12,0,1.02,150952,0
nearly_reducible,12,1,0.99,148940,0
nearly_reducible,12,2,1.02,150872,0
nearly_reducible,12,3,0.99,148392,0
nearly_reducible,12,4,1.00,150184,0
nearly_reducible,12,5,0.98,147524,0
nearly_reducible,12,6,0.98,148676,0
nearly_reducible,12,7,1.00,149136,0
nearly_reducible,12,8,0.96,146628,0
nearly_reducible,12,9,1.02,151208,0
nearly_reducible,14,0,1.81,243508,0
nearly_reducible,14,1,1.74,238100,0
nearly_reducible,14,2,1.77,240800,0
nearly_reducible,14,3,1.76,237008,0
nearly_reducible,14,4,1.75,237124,0
nearly_reducible,14,5,1.73,237640,0
nearly_reducible,14,6,1.78,238928,0
nearly_reducible,14,7,1.78,240912,0
nearly_reducible,14,8,1.76,239564,0
nearly_reducible,14,9,1.78,238992,0
nearly_reducible,16,0,6.91,839624,1
nearly_reducible,16,1,7.03,839496,1
nearly_reducible,16,2,7.07,839300,1
nearly_reducible,16,3,6.95,839460,1
nearly_reducible,16,4,6.96,839812,1
nearly_reducible,16,5,6.97,839876,1
nearly_reducible,16,6,7.28,839516,1
nearly_reducible,16,7,6.92,839752,1
nearly_reducible,16,8,6.98,839584,1
nearly_reducible,16,9,6.98,839888,1
nearly_reducible,18,0,6.97,838676,1
nearly_reducible,18,1,7.10,838572,1
nearly_reducible,18,2,6.99,839136,1
nearly_reducible,18,3,7.04,838916,1
nearly_reducible,18,4,7.01,839140,1
nearly_reducible,18,5,6.97,839136,1
nearly_reducible,18,6,6.97,839116,1
nearly_reducible,18,7,6.94,838984,1
nearly_reducible,18,8,7.00,838580,1
nearly_reducible,18,9,7.07,838720,1
nearly_reducible,20,0,7.01,833736,1
nearly_reducible,20,1,7.05,833740,1
nearly_reducible,20,2,7.01,833452,1
nearly_reducible,20,3,7.02,833032,1
nearly_reducible,20,4,7.03,833152,1
nearly_reducible,20,5,7.09,833076,1
nearly_reducible,20,6,7.00,833028,1
nearly_reducible,20,7,7.11,833872,1
nearly_reducible,20,8,7.09,833288,1
nearly_reducible,20,9,7.11,833480,1
nearly_reducible,2,0,0.04,35944,0
nearly_reducible,2,1,0.04,35916,0
nearly_reducible,2,2,0.04,35772,0
nearly_reducible,2,3,0.05,35916,0
nearly_reducible,2,4,0.04,35976,0
nearly_reducible,2,5,0.04,35920,0
nearly_reducible,2,6,0.05,35920,0
nearly_reducible,2,7,0.05,35912,0
nearly_reducible,2,8,0.04,35948,0
